panel,value_col,early_order_state,threshold,survival,n_surviving_at_threshold,n_runs,ci_low_95,ci_high_95,ci_type,bootstrap_B,bootstrap_n_clusters,bootstrap_cluster_cols
B. Length survivor by order state,run_length_m,High,32.72390896045444,0.07723208500712712,1788,23151,0.07169827094618933,0.08320547239311675,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,High,34.310104408477166,0.06734050364995033,1559,23151,0.0627083518914864,0.07232285025439242,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,High,35.89629985649989,0.059176709429398296,1370,23151,0.05484848423758462,0.06396284754914829,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,High,37.48249530452261,0.0513152779577556,1188,23151,0.04756831634945002,0.05546972644715994,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,High,39.06869075254533,0.04345384648611291,1006,23151,0.04025227169398826,0.04707446889818264,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,High,40.65488620056805,0.03749298086475746,868,23151,0.03446299091876423,0.040854483317563174,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,High,42.24108164859077,0.032568787525376876,754,23151,0.02956566269453879,0.035510276912845085,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,High,43.82727709661349,0.027515010150749426,637,23151,0.02482411132792025,0.030171691029118246,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,High,45.41347254463622,0.023800267807006177,551,23151,0.021444671263370577,0.0263631510612622,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,High,46.99966799265894,0.019653578679106734,455,23151,0.01758889859729137,0.02165589202405781,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,High,48.58586344068166,0.016586756511597772,384,23151,0.014661157039521347,0.01858283813346904,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,High,50.172058888704385,0.014383827912401193,333,23151,0.012593157549858267,0.016277067112465588,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,High,51.758254336727106,0.012526456740529567,290,23151,0.010765305982270988,0.014454505669373563,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,High,53.34444978474983,0.010064360070839273,233,23151,0.008387640442520812,0.01178668713426454,cluster_bootstrap_95,500,66,"season,match_id,team"
